modelo	gan
B	9806666.66666667
B	8146666.66666667
B	7016666.66666667
B	7406666.66666667
B	7850000
B	11060000
B	9290000
B	8536666.66666667
B	9700000
B	5373333.33333333
B	8613333.33333333
B	8676666.66666667
B	12006666.6666667
B	6326666.66666667
B	12670000
B	8596666.66666667
B	10056666.6666667
B	7436666.66666667
B	8350000
B	10186666.6666667
B	8046666.66666667
B	9993333.33333333
B	8883333.33333333
B	10610000
B	8980000
B	9266666.66666667
B	7843333.33333333
B	8790000
B	9663333.33333333
B	9940000
B	7423333.33333333
B	9146666.66666667
B	10733333.3333333
B	11523333.3333333
B	8123333.33333333
B	8273333.33333333
B	7736666.66666667
B	10046666.6666667
B	9513333.33333333
B	10233333.3333333
B	11270000
B	5866666.66666667
B	7930000
B	9860000
B	11240000
B	9500000
B	8983333.33333333
B	8893333.33333333
B	9060000
B	8973333.33333333
B	7713333.33333333
B	9760000
B	7240000
B	11096666.6666667
B	8566666.66666667
B	9386666.66666667
B	10890000
B	7413333.33333333
B	8263333.33333333
B	12203333.3333333
B	6196666.66666667
B	8136666.66666667
B	10360000
B	10226666.6666667
B	9273333.33333333
B	9853333.33333333
B	7633333.33333333
B	9623333.33333333
B	8716666.66666667
B	8770000
B	9436666.66666667
B	10150000
B	9546666.66666667
B	9483333.33333333
B	10330000
B	9273333.33333333
B	11096666.6666667
B	8210000
B	8956666.66666667
B	9290000
B	9240000
B	7523333.33333333
B	10020000
B	10056666.6666667
B	8766666.66666667
B	8630000
B	4773333.33333333
B	11220000
B	7413333.33333333
B	7980000
B	8146666.66666667
B	10120000
B	9226666.66666667
B	11316666.6666667
B	9563333.33333333
B	7760000
B	5500000
B	10746666.6666667
B	8393333.33333333
B	11033333.3333333
B	10086666.6666667
B	5510000
B	9540000
B	10450000
B	11233333.3333333
B	10836666.6666667
B	9790000
B	9643333.33333333
B	9513333.33333333
B	9010000
B	7340000
B	8056666.66666667
B	5880000
B	9763333.33333333
B	10683333.3333333
B	10400000
B	12380000
B	4973333.33333333
B	11330000
B	7460000
B	9856666.66666667
B	7096666.66666667
B	9013333.33333333
B	11586666.6666667
B	8653333.33333333
B	6833333.33333333
B	7110000
B	8893333.33333333
B	9723333.33333333
B	7156666.66666667
B	8776666.66666667
B	8120000
B	7993333.33333333
B	12043333.3333333
B	10650000
B	9863333.33333333
B	11040000
B	9436666.66666667
B	8723333.33333333
B	10906666.6666667
B	6703333.33333333
B	9250000
B	8993333.33333333
B	9266666.66666667
B	8563333.33333333
B	8143333.33333333
B	11056666.6666667
B	13040000
B	8216666.66666667
B	8820000
B	9043333.33333333
B	11086666.6666667
B	8576666.66666667
B	10633333.3333333
B	10986666.6666667
B	8733333.33333333
B	10823333.3333333
B	8390000
B	9213333.33333333
B	6083333.33333333
B	7316666.66666667
B	8116666.66666667
