Feature	Gain	Cover	Frequency
Master_mconsumospesos	0.00143603299555787	0.00373218206144936	0.00482011875654907
Visa_mpagosdolares	0.00138797628864026	0.00721912657241122	0.00551868669228082
cpagomiscuentas	0.00130706365031581	0.00338078361553107	0.00356269647223192
cextraccion_autoservicio	0.00109670381936148	0.00208756425765232	0.00443590639189661
cseguro_accidentes_personales	0.000942150336906177	0.00615172530179161	0.00227034579112819
Master_fultimo_cierre	0.000830949796069668	0.00138949667743427	0.0025148445686343
ccajas_trx	0.000820946552279262	0.00248437655706276	0.00097799511002445
Visa_fultimo_cierre	0.000721072013856009	0.0012782213960002	0.00209570380719525
matm	0.000714451653012713	0.00164551007971769	0.00317848410757946
Visa_Finiciomora	0.000673315142416994	0.00805953833207697	0.00150192106182326
Master_mconsumototal	0.000627788361848267	0.00159762252831703	0.00185120502968914
ccajas_extracciones	0.000603831308974726	0.000585506225110635	0.000593782745371987
Master_cconsumos	0.000550210735029086	0.00194766885220473	0.00338805448829899
active_quarter	0.000537824723931504	0.00024361001926911	0.000593782745371987
ctarjeta_master_trx	0.000422597744449477	0.000597858514112724	0.00118756549074397
mtarjeta_master_consumo	0.000411767070433793	0.00115494026789077	0.00122249388753056
mtarjeta_visa_descuentos	0.000393320814451809	0.00632957732733864	0.00380719524973804
Visa_msaldodolares	0.000379898673038871	0.00142377702104499	0.00146699266503668
catm_trx	0.000323882349950367	0.00163741354807457	0.00104785190359763
Master_mpagado	0.000293953423508765	0.00476038425513588	0.00118756549074397
tcuentas	0.000202456014517736	0.00263615069725288	0.000593782745371987
cplazo_fijo	0.000180613494220775	0.00180653223611891	0.000454069158225637
catm_trx_other	0.000165745333868593	0.000909862230417009	0.00041914076143905
Visa_delinquency	0.000165217285482536	0.000351695040428231	0.000244498777506112
ctarjeta_visa	0.000161538655209361	0.000387192916964198	0.000314355571079288
Master_mpagosdolares	0.000137659965397785	0.000859643047385715	0.00230527418791477
Master_mconsumosdolares	0.000129983449186074	0.000238635207152853	0.000593782745371987
matm_other	0.000113946410584859	0.000939592714549661	0.000523925951798813
ctarjeta_master_debitos_automaticos	7.18134986229787e-05	0.000614727015316545	0.000244498777506112
mttarjeta_master_debitos_automaticos	6.61992546737246e-05	0.000220227654605449	0.000244498777506112
internet	5.25670574551643e-05	0.000410961602208029	0.000104785190359763
Master_msaldodolares	4.02649043008448e-05	5.34044585245696e-05	0.000104785190359763
ctarjeta_visa_descuentos	3.31182666633591e-05	0.000769723816862536	0.000593782745371987
Master_madelantopesos	2.97896945250545e-05	0.000400124686836543	0.000943066713237863
cseguro_vida	2.2382883307456e-05	0.000228892451360043	0.000174641983932937
Master_cadelantosefectivo	1.99274925677266e-05	0.000164067858007472	0.000454069158225637
minversion2	1.02344089736505e-05	0.000191950234332406	3.49283967865875e-05
Master_delinquency	7.2151004489312e-06	4.87287333090894e-05	3.49283967865875e-05
Visa_madelantopesos	6.64829654205364e-06	3.11536393021822e-05	0.000104785190359763
mforex_sell	6.25711341508003e-06	0.000210626965090508	0.00013971358714635
Visa_madelantodolares	1.65158462005745e-09	1.09328724188185e-05	3.49283967865875e-05
Master_madelantodolares	1.64412029341871e-13	4.95948391259228e-05	0.00013971358714635
cforex_sell	6.02403431864559e-14	3.8275646126934e-05	6.9856793573175e-05
cforex	1.96126676157262e-14	1.78230868954682e-05	3.49283967865875e-05
