v_cp	max_depth	min_split	minbucket	ganancia_promedio
-2	100	1000	5	NA
-2	100	1000	100	9898667
-2	100	1000	200	10250667
-2	100	1000	333	10938000
-2	100	1000	500	10863333
-2	100	800	1	NA
-2	100	800	2	NA
-2	100	800	3	NA
-2	100	800	4	NA
-2	100	800	5	NA
-2	100	800	80	9113333
-2	100	800	160	10006000
-2	100	800	266	10120667
-2	100	800	400	10886000
-2	100	600	1	NA
-2	100	600	2	NA
-2	100	600	3	NA
-2	100	600	4	NA
-2	100	600	5	NA
-2	100	600	60	8758667
-2	100	600	120	9689333
-2	100	600	200	9752000
-2	100	600	300	10167333
-2	100	400	1	NA
-2	100	400	2	NA
-2	100	400	3	NA
-2	100	400	4	NA
-2	100	400	5	NA
-2	100	400	40	6020667
-2	100	400	80	7784000
-2	100	400	133	8248000
-2	100	400	200	9244000
-2	100	200	1	NA
-2	100	200	2	NA
-2	100	200	3	NA
-2	100	200	4	NA
-2	100	200	5	NA
-2	100	200	20	4846667
-2	100	200	40	4968000
-2	100	200	66	6420667
-2	100	200	100	6300000
-2	100	100	1	NA
-2	100	100	2	NA
-2	100	100	3	NA
-2	100	100	4	NA
-2	100	100	5	NA
-2	100	100	10	NA
-2	100	100	20	4372000
-2	100	100	33	3884667
-2	100	100	50	4414000
-2	100	50	1	NA
-2	100	50	2	NA
-2	100	50	3	NA
-2	100	50	4	NA
-2	100	50	5	NA
-2	100	50	10	NA
-2	100	50	16	NA
-2	100	50	25	3884667
-2	100	20	1	NA
-2	100	20	2	NA
-2	100	20	3	NA
-2	100	20	4	NA
-2	100	20	5	NA
-2	100	20	6	NA
-2	100	20	10	NA
-2	100	10	1	NA
-2	100	10	2	NA
-2	100	10	3	NA
-2	100	10	4	NA
-2	100	10	5	NA
-2	100	5	1	NA
-2	100	5	2	NA
-2	100	5	3	NA
-2	100	5	4	NA
-2	100	5	5	NA
-2	100	5	0	NA
-2	200	1000	1	NA
-2	200	1000	2	NA
-2	200	1000	3	NA
-2	200	1000	4	NA
-2	200	1000	5	NA
-2	200	1000	100	9898667
-2	200	1000	200	10250667
-2	200	1000	333	10938000
-2	200	1000	500	10863333
-2	200	800	1	NA
-2	200	800	2	NA
-2	200	800	3	NA
-2	200	800	4	NA
-2	200	800	5	NA
-2	200	800	80	9113333
-2	200	800	160	10006000
-2	200	800	266	10120667
-2	200	800	400	10886000
-2	200	600	1	NA
-2	200	600	2	NA
-2	200	600	3	NA
-2	200	600	4	NA
-2	200	600	5	NA
-2	200	600	60	8758667
-2	200	600	120	9689333
-2	200	600	200	9752000
-2	200	600	300	10167333
-2	200	400	1	NA
-2	200	400	2	NA
-2	200	400	3	NA
-2	200	400	4	NA
-2	200	400	5	NA
-2	200	400	40	6020667
-2	200	400	80	7784000
-2	200	400	133	8248000
-2	200	400	200	9244000
-2	200	200	1	NA
-2	200	200	2	NA
-2	200	200	3	NA
-2	200	200	4	NA
-2	200	200	5	NA
-2	200	200	20	4846667
-2	200	200	40	4968000
-2	200	200	66	6420667
-2	200	200	100	6300000
-2	200	100	1	NA
-2	200	100	2	NA
-2	200	100	3	NA
-2	200	100	4	NA
-2	200	100	5	NA
-2	200	100	10	NA
-2	200	100	20	4372000
-2	200	100	33	3884667
-2	200	100	50	4414000
-2	200	50	1	NA
-2	200	50	2	NA
-2	200	50	3	NA
-2	200	50	4	NA
-2	200	50	5	NA
-2	200	50	10	NA
-2	200	50	16	NA
-2	200	50	25	3884667
-2	200	20	1	NA
-2	200	20	2	NA
-2	200	20	3	NA
-2	200	20	4	NA
-2	200	20	5	NA
-2	200	20	6	NA
-2	200	20	10	NA
-2	200	10	1	NA
-2	200	10	2	NA
-2	200	10	3	NA
-2	200	10	4	NA
-2	200	10	5	NA
-2	200	5	1	NA
-2	200	5	2	NA
-2	200	5	3	NA
-2	200	5	4	NA
-2	200	5	5	NA
-2	200	5	0	NA
-2	500	1000	1	NA
-2	500	1000	2	NA
-2	500	1000	3	NA
-2	500	1000	4	NA
-2	500	1000	5	NA
-2	500	1000	100	9898667
-2	500	1000	200	10250667
-2	500	1000	333	10938000
-2	500	1000	500	10863333
-2	500	800	1	NA
-2	500	800	2	NA
-2	500	800	3	NA
-2	500	800	4	NA
-2	500	800	5	NA
-2	500	800	80	9113333
-2	500	800	160	10006000
-2	500	800	266	10120667
-2	500	800	400	10886000
-2	500	600	1	NA
-2	500	600	2	NA
-2	500	600	3	NA
-2	500	600	4	NA
-2	500	600	5	NA
-2	500	600	60	8758667
-2	500	600	120	9689333
-2	500	600	200	9752000
-2	500	600	300	10167333
-2	500	400	1	NA
-2	500	400	2	NA
-2	500	400	3	NA
-2	500	400	4	NA
-2	500	400	5	NA
-2	500	400	40	6020667
-2	500	400	80	7784000
-2	500	400	133	8248000
-2	500	400	200	9244000
-2	500	200	1	NA
-2	500	200	2	NA
-2	500	200	3	NA
-2	500	200	4	NA
-2	500	200	5	NA
-2	500	200	20	4846667
-2	500	200	40	4968000
-2	500	200	66	6420667
-2	500	200	100	6300000
-2	500	100	1	NA
-2	500	100	2	NA
-2	500	100	3	NA
-2	500	100	4	NA
-2	500	100	5	NA
-2	500	100	10	NA
-2	500	100	20	4372000
-2	500	100	33	3884667
-2	500	100	50	4414000
-2	500	50	1	NA
-2	500	50	2	NA
-2	500	50	3	NA
-2	500	50	4	NA
