fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220425 143932	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	73	TRUE	0.150888679171134	0.408264039641399	6745	55	0.0168401917200116	12973000	74
20220425 144054	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	356	TRUE	0.0103756524235503	0.55913780666865	7890	107	0.0193090104669512	13135000	75
20220425 144253	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	591	TRUE	0.0102842245406346	0.577996011928436	2893	1018	0.01544756126558	13758000	76
20220425 144453	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	424	TRUE	0.0100013876301364	0.391362767867492	1093	999	0.0210981705417204	12962000	77
20220425 144522	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	149	TRUE	0.0535286346162517	0.332352003770252	4116	1024	0.0161503688324244	13712000	78
20220425 144558	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	176	TRUE	0.0363548903578239	0.573732875082156	4662	1024	0.0146379667911611	13423000	79
20220425 144607	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	37	TRUE	0.180538350067583	0.774185789237225	5928	1023	0.0161305483738989	12731000	80
20220425 144739	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	477	TRUE	0.0128700735879873	0.586343510423286	2473	678	0.0237378246326334	12439000	81
20220425 144910	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	686	TRUE	0.012780455442611	0.202245052178493	4658	238	0.0197315858539041	13115000	82
20220425 144929	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	100	TRUE	0.0947578789689619	0.324981327437164	7999	720	0.0161624214361688	13260000	83
20220425 144939	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	0.28331583306723	0.281431710927883	4952	1020	0.0160834401119011	12610000	84
20220425 145137	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	752	TRUE	0.0101486191444686	0.370629046707406	5951	1023	0.0184434467835953	13507000	85
20220425 145324	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	456	TRUE	0.0100573494703717	0.351296214921834	2099	132	0.0164598993035134	13889000	86
20220425 145517	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	614	TRUE	0.0104795565250338	0.38548279076866	2070	34	0.0173295638227762	13655000	87
